id	title	journal	pub_time	pmid	circRNA id	circRNA name	circRNA synonyms	disease	method of circRNA detection	species	expression pattern	associator	host gene	tissue/cell line	functional describution
20	circGFRA1 and GFRA1 act as ceRNAs in triple negative breast cancer by regulating  miR-34a	J Exp Clin Cancer Res.	2017 Oct 16	29037220	hsa_circ_0005239	circGFRA1		breast cancer	qRT-PCR, microarray	human	up-regulated	miR-34a	GFRA1	tissue and cell line, PDX	CircGFRA1 may function as a competing endogenous RNA (ceRNA) to regulate GFRA1 expression through sponging miR-34a to exert regulatory functions in triple negative breast cancer (TNBC). circGFRA1 may be a diagnostic biomarker and potential target for TNBC therapy.
21	Circulating circular RNA hsa_circ_0001785 acts as a diagnostic biomarker for breast cancer detection	Clin Chim Acta.	2017 Oct 16	29045858	hsa_circ_0001785	-		breast cancer	qRT-PCR, microarray	human	up-regulated	-	ELP3	tissue	Our study reveals that multiple circRNAs are closely correlated with breast cancer tumorigenesis, and thoroughly investigates the diagnostic value of hsa_circ_0001785, suggesting the promising biomarker for breast cancer detection.
22	Circulating circular RNA hsa_circ_0001785 acts as a diagnostic biomarker for breast cancer detection	Clin Chim Acta.	2017 Oct 16	29045858	hsa_circ_0108942	-		breast cancer	qRT-PCR, microarray	human	up-regulated	-	ANKRD12	tissue	Among these circRNAs, 3 candidate circRNAs were validated to be significantly dysregulated using RT-PCR, including hsa_circ_0001785, hsa_circ_0108942 and hsa_circ_0068033
23	Circulating circular RNA hsa_circ_0001785 acts as a diagnostic biomarker for breast cancer detection	Clin Chim Acta.	2017 Oct 16	29045858	hsa_circ_0068033	-		breast cancer	qRT-PCR, microarray	human	down-regulated	-	NAALADL2	tissue	Among these circRNAs, 3 candidate circRNAs were validated to be significantly dysregulated using RT-PCR, including hsa_circ_0001785, hsa_circ_0108942 and hsa_circ_0068034
24	Altered expression of circular RNAs in Moyamoya disease	J Neurol Sci.	2017 Oct 15	28991692	-	hsa_circRNA_100914		moyamoya	qRT-PCR, microarray	human	down-regulated	-	-	tissue	To validate the results of the microarray analysis, the expression levels of five circRNAs (hsa_circRNA_100914, hsa_circRNA_103343, hsa_circRNA_050898, hsa_circRNA_101720, and hsa_circRNA_067209) were analyzed by qRT-PCR in twelve MMD and matched control samples. The measured circRNA levels were concordant with those obtained by microarray (Fig. 2), confirming the reliability of the data.
25	Altered expression of circular RNAs in Moyamoya disease	J Neurol Sci.	2017 Oct 15	28991692	-	hsa_circRNA_103343		moyamoya	qRT-PCR, microarray	human	down-regulated	-	-	tissue	To validate the results of the microarray analysis, the expression levels of five circRNAs (hsa_circRNA_100914, hsa_circRNA_103343, hsa_circRNA_050898, hsa_circRNA_101720, and hsa_circRNA_067209) were analyzed by qRT-PCR in twelve MMD and matched control samples. The measured circRNA levels were concordant with those obtained by microarray (Fig. 2), confirming the reliability of the data.
26	Altered expression of circular RNAs in Moyamoya disease	J Neurol Sci.	2017 Oct 15	28991692	-	hsa_circRNA_050898		moyamoya	qRT-PCR, microarray	human	down-regulated	-	-	tissue	To validate the results of the microarray analysis, the expression levels of five circRNAs (hsa_circRNA_100914, hsa_circRNA_103343, hsa_circRNA_050898, hsa_circRNA_101720, and hsa_circRNA_067209) were analyzed by qRT-PCR in twelve MMD and matched control samples. The measured circRNA levels were concordant with those obtained by microarray (Fig. 2), confirming the reliability of the data.
27	Altered expression of circular RNAs in Moyamoya disease	J Neurol Sci.	2017 Oct 15	28991692	-	hsa_circRNA_101720		moyamoya	qRT-PCR, microarray	human	up-regulated	-	-	tissue	To validate the results of the microarray analysis, the expression levels of five circRNAs (hsa_circRNA_100914, hsa_circRNA_103343, hsa_circRNA_050898, hsa_circRNA_101720, and hsa_circRNA_067209) were analyzed by qRT-PCR in twelve MMD and matched control samples. The measured circRNA levels were concordant with those obtained by microarray (Fig. 2), confirming the reliability of the data.
28	Altered expression of circular RNAs in Moyamoya disease	J Neurol Sci.	2017 Oct 15	28991692	-	hsa_circRNA_067209		moyamoya	qRT-PCR, microarray	human	up-regulated	-	-	tissue	To validate the results of the microarray analysis, the expression levels of five circRNAs (hsa_circRNA_100914, hsa_circRNA_103343, hsa_circRNA_050898, hsa_circRNA_101720, and hsa_circRNA_067209) were analyzed by qRT-PCR in twelve MMD and matched control samples. The measured circRNA levels were concordant with those obtained by microarray (Fig. 2), confirming the reliability of the data.
29	Circular RNA hsa_circ_000984 promotes colon cancer growth and metastasis by sponging miR-106b	Oncotarget.	2017 Oct 10	29207676	hsa_circ_0001724	hsa_circ_000984		colorectal cancer	qRT-PCR	human	up-regulated	miR-106b	CDK6	tissue and cell line, PDX	Further analysis revealed that hsa_circ_000984 knockdown could inhibit cell proliferation, migration, invasion in vitro and tumor formation in vivo in colorectal cancer (CRC) cell lines. Mechanically, we found that hsa_circ_000984 may act as a competing endogenous RNA (ceRNA) by competitively binding miR-106b and effectively upregulate the expression of CDK6, thereby inducing a series of malignant phenotypes of tumor cells.
30	Analysis of co-expression networks for circular RNAs and mRNAs reveals that circular RNAs hsa_circ_0047905, hsa_circ_0138960 and hsa-circRNA7690-15 are candidate oncogenes in gastric cancer	Cell Cycle.	2017 Oct 5 	28980874	hsa_circ_0047905	circRNA0047905		gastric cancer	qRT-PCR, FISH, microarray	human	up-regulated	-	SERPINB5	tissue and cell line	Functional assays suggested that inhibition of these three circular RNAs (hsa_circ_0047905, hsa_circ_0138960 and hsa-circRNA7690-15) suppresses GC cell proliferation and invasion in vitro.
31	Analysis of co-expression networks for circular RNAs and mRNAs reveals that circular RNAs hsa_circ_0047905, hsa_circ_0138960 and hsa-circRNA7690-15 are candidate oncogenes in gastric cancer	Cell Cycle.	2017 Oct 5 	28980874	hsa_circ_0138960	circRNA0138960		gastric cancer	qRT-PCR, FISH, microarray	human	up-regulated	-	GDA	tissue and cell line	Functional assays suggested that inhibition of these three circular RNAs (hsa_circ_0047905, hsa_circ_0138960 and hsa-circRNA7690-15) suppresses GC cell proliferation and invasion in vitro.
32	Analysis of co-expression networks for circular RNAs and mRNAs reveals that circular RNAs hsa_circ_0047905, hsa_circ_0138960 and hsa-circRNA7690-15 are candidate oncogenes in gastric cancer	Cell Cycle.	2017 Oct 5 	28980874	-	hsa-circRNA7690-15	circRNA7690-15	gastric cancer	qRT-PCR, FISH, microarray	human	up-regulated	-	GDA	tissue and cell line	Functional assays suggested that inhibition of these three circular RNAs (hsa_circ_0047905, hsa_circ_0138960 and hsa-circRNA7690-15) suppresses GC cell proliferation and invasion in vitro.
33	Circular RNA circMTO1 acts as the sponge of microRNA-9 to suppress hepatocellular carcinoma progression	Hepatology.	2017 Oct	28520103	hsa_circ_0007874	circMTO1	hsa_circ_104135	hepatocellular carcinoma	qRT-PCR	human	down-regulated	miR-9, p21	MTO1	tissue and cell line	CircMTO1 suppresses HCC progression by acting as the sponge of oncogenic miR-9 to promote p21 expression, suggesting that circMTO1 is a potential target in HCC treatment. The decrease of circMTO1 in HCC tissues may serve as a prognosis predictor for poor survival of patients.
34	The circular RNA of peripheral blood mononuclear cells: Hsa_circ_0005836 as a new diagnostic biomarker and therapeutic target of active pulmonary tuberculosis	Mol Immunol.	2017 Oct	28846924	hsa_circ_0005836	-		active pulmonary tuberculosis	qRT-PCR, RNA-seq	human	down-regulated	-	TRAPPC6B	tissue and cell line	We found that the expression of hsa_circ_0005836 was down-regulated by 2.586 folds in the active pulmonary tuberculosis (APTB) patients compared to the health control group (P < 0.0001), which was consistent with the RNA-seq results
35	The circular RNA of peripheral blood mononuclear cells: Hsa_circ_0005836 as a new diagnostic biomarker and therapeutic target of active pulmonary tuberculosis	Mol Immunol.	2017 Oct	28846924	hsa_circ_0009128	-		active pulmonary tuberculosis	qRT-PCR, RNA-seq	human	down-regulated	-	TXNDC11	tissue and cell line	The hsa_circ_0009128 was decreased in active pulmonary tuberculosis (APTB) patients on a larger cohort being different from that of smaller cohort
36	Circular RNA expression profiles reveal that hsa_circ_0018289 is up-regulated in  cervical cancer and promotes the tumorigenesis	Oncotarget.	2017 Sep 23	29156822	hsa_circ_0018289	-		cervical cancer	microarray	human	up-regulated	miR-497	SYT15	tissue and cell line, PDX	Hsa_circ_0018289 plays important role in cervical cancer proliferation, migration and invasion, suggesting the miRNA 'sponge' of hsa_circ_0018289 and its oncogenic role on cervical cancer tumorigenesis.
37	Clinical values of circular RNA 0000181 in the screening of gastric cancer	J Clin Lab Anal.	2017 Sep 22	28940688	hsa_circ_0000181	-		gastric cancer	qRT-PCR	human	down-regulated	-	TATDN3	tissue	Hsa_circ_0000181 expression in gastric cancer tissues was significantly correlated with tumor diameter, lymphatic metastasis, distal metastasis, and carbohydrate antigen 19-9.
38	Identification of circular RNA signature in bladder cancer	J Cancer.	2017 Sep 22	29151929	hsa_circ_0091017	-		bladder cancer	qRT-PCR, RNA-seq	human	down-regulated	-	TAF1	tissue and cell line	The expression level changes of hsa_circ_0091017 and hsa_circ_0002024 in the 32 paired samples were in accord with NGS data. In conclusion, we identified a set of circRNAs that are potentially implicated in the tumorigenesis of BCa (bladder cancer) and could serve as novel diagnostic markers for BCa.
39	Identification of circular RNA signature in bladder cancer	J Cancer.	2017 Sep 22	29151929	hsa_circ_0092024	-		bladder cancer	qRT-PCR, RNA-seq	human	down-regulated	-	FLNA	tissue and cell line	The expression level changes of hsa_circ_0091017 and hsa_circ_0002024 in the 32 paired samples were in accord with NGS data. In conclusion, we identified a set of circRNAs that are potentially implicated in the tumorigenesis of BCa (bladder cancer) and could serve as novel diagnostic markers for BCa.
40	Microarray profiling of circular RNAs and the potential regulatory role of hsa_circ_0071410 in the activated human hepatic stellate cell induced by irradiation	Gene.	2017 Sep 20	28774651	hsa_circ_0071410	-		liver fibrosis	qRT-PCR, microarray	human	up-regulated	miR-9-5p	PALLD	cell line	Inhibition of hsa_circ_0071410 increased the expression of miR-9-5p, resulting in the attenuation of irradiation induced hepatic stellate cell (HSC) activation
41	Microarray profiling of circular RNAs and the potential regulatory role of hsa_circ_0071410 in the activated human hepatic stellate cell induced by irradiation	Gene.	2017 Sep 20	28774651	hsa_circ_0072765	-		liver fibrosis	qRT-PCR, microarray	human	up-regulated	-	CCNB1	cell line	Hsa_circ_0072765, hsa_circ_0071410, hsa_circ_0054345 were significantly up-regulated in irradiated hepatic stellate cell (HSC) compared with normal HSC, while hsa_circ_0070963, hsa_circ_0061893, hsa_circ_0013255 were significantly down-regulated
42	Microarray profiling of circular RNAs and the potential regulatory role of hsa_circ_0071410 in the activated human hepatic stellate cell induced by irradiation	Gene.	2017 Sep 20	28774651	hsa_circ_0054345	-		liver fibrosis	qRT-PCR, microarray	human	up-regulated	-	LRPPRC	cell line	Hsa_circ_0072765, hsa_circ_0071410, hsa_circ_0054345 were significantly up-regulated in irradiated hepatic stellate cell (HSC) compared with normal HSC, while hsa_circ_0070963, hsa_circ_0061893, hsa_circ_0013255 were significantly down-regulated
43	Microarray profiling of circular RNAs and the potential regulatory role of hsa_circ_0071410 in the activated human hepatic stellate cell induced by irradiation	Gene.	2017 Sep 20	28774651	hsa_circ_0070963	-		liver fibrosis	qRT-PCR, microarray	human	down-regulated	-	SCLT1	cell line	Hsa_circ_0072765, hsa_circ_0071410, hsa_circ_0054345 were significantly up-regulated in irradiated hepatic stellate cell (HSC) compared with normal HSC, while hsa_circ_0070963, hsa_circ_0061893, hsa_circ_0013255 were significantly down-regulated
44	Microarray profiling of circular RNAs and the potential regulatory role of hsa_circ_0071410 in the activated human hepatic stellate cell induced by irradiation	Gene.	2017 Sep 20	28774651	hsa_circ_0061893	-		liver fibrosis	qRT-PCR, microarray	human	down-regulated	-	PDXK	cell line	Hsa_circ_0072765, hsa_circ_0071410, hsa_circ_0054345 were significantly up-regulated in irradiated hepatic stellate cell (HSC) compared with normal HSC, while hsa_circ_0070963, hsa_circ_0061893, hsa_circ_0013255 were significantly down-regulated
45	Microarray profiling of circular RNAs and the potential regulatory role of hsa_circ_0071410 in the activated human hepatic stellate cell induced by irradiation	Gene.	2017 Sep 20	28774651	hsa_circ_0013255	-		liver fibrosis	qRT-PCR, microarray	human	down-regulated	-	DPYD	cell line	Hsa_circ_0072765, hsa_circ_0071410, hsa_circ_0054345 were significantly up-regulated in irradiated hepatic stellate cell (HSC) compared with normal HSC, while hsa_circ_0070963, hsa_circ_0061893, hsa_circ_0013255 were significantly down-regulated
46	Circular RNA profiling reveals that circular RNAs from ANXA2 can be used as new biomarkers for multiple sclerosis.	Hum Mol Genet.	2017 Sep 15	28651352	hsa_circ_0005402	hsa_circRNA_101539		multiple sclerosis	qRT-PCR, microarray	human	down-regulated	miR-1248, miR-766	ANXA2	tissue	We carried out expression profiling of 13617 circular RNA in peripheral blood leucocytes from multiple sclerosis patients and healthy controls finding 406 differentially expressed  and demonstrate after validation that, circ_0005402 and circ_0035560 are underexpressed in multiple sclerosis patients and could be used as biomarkers of the disease.
47	Circular RNA profiling reveals that circular RNAs from ANXA2 can be used as new biomarkers for multiple sclerosis.	Hum Mol Genet.	2017 Sep 15	28651352	hsa_circ_0035560	hsa_circRNA_101541		multiple sclerosis	qRT-PCR, microarray	human	down-regulated	-	ANXA2	tissue	We carried out expression profiling of 13617 circular RNA in peripheral blood leucocytes from multiple sclerosis patients and healthy controls finding 406 differentially expressed  and demonstrate after validation that, circ_0005402 and circ_0035560 are underexpressed in multiple sclerosis patients and could be used as biomarkers of the disease.
48	Circular RNA hsa_circ_0000745 may serve as a diagnostic marker for gastric cancer	World J Gastroenterol.	2017 Sep 14	28974900	hsa_circ_0000745	-		gastric cancer	qRT-PCR, RNA-seq	human	down-regulated	-	SPECC1	tissue and cell line	The expression level of hsa_circ_0000745 in GC tissues correlated with tumor differentiation, while the expression level in plasma correlated with tumor-nodemetastasis stage
49	Circular RNA hsa_circ_0000745 may serve as a diagnostic marker for gastric cancer	World J Gastroenterol.	2017 Sep 14	28974900	hsa_circ_0085616	-		gastric cancer	qRT-PCR, RNA-seq	human	up-regulated	-	ASAP1	tissue and cell line	Hsa_circ_0085616 was reported to be up-regulated in colorectal tissues compared to that in normal tissues
50	Circular RNA hsa_circ_0000745 may serve as a diagnostic marker for gastric cancer	World J Gastroenterol.	2017 Sep 14	28974900	hsa_circ_0006127	-		gastric cancer	qRT-PCR, RNA-seq	human	down-regulated	-	SRCAP	tissue and cell line	Hsa_circ_0006127 (chr16:30740286-30740893) were found to be down-regulated in GC tissues compared to paired adjacent non-tumor tissues
51	Circular RNA_LARP4 inhibits cell proliferation and invasion of gastric cancer by  sponging miR-424-5p and regulating LATS1 expression	Mol Cancer.	2017 Sep 11	28893265	-	circLARP4	circ_101057	gastric cancer	qRT-PCR, FISH, microarray	human	down-regulated	miR-424	LARP4	tissue and cell line	CircLARP4 was mainly localized in the cytoplasm and inhibited biological behaviors of GC cells by sponging miR-424. The expression of circLARP4 was downregulated in GC tissues and represented an independent prognostic factor for overall survival of GC patients.
52	Circular RNA MYLK as a competing endogenous RNA promotes bladder cancer progression through modulating VEGFA/VEGFR2 signaling pathway	Cancer Lett.	2017 Sep 10	28687357	hsa_circ_0002768	circRNA-MYLK		bladder cancer	qRT-PCR, FISH, microarray	human	up-regulated	miR-29a;VEGFA	MYLK	tissue and cell line	CircRNA-MYLK might function as competing endogenous RNA (ceRNA) for miR-29a, which could contribute to EMT and the development of bladder carcinoma through activating VEGFA/VEGFR2 and downstream Ras/ERK signaling pathway.
53	A circular RNA promotes tumorigenesis by inducing c-myc nuclear translocation	Cell Death Differ.	2017 Sep	28622299	hsa_circ_0004214	circAmotl1		breast cancer	qRT-PCR	human	up-regulated	c-myc	Amotl1	tissue and cell line, PDX	Single-cell inoculations using circ-Amotl1-transfected tumor cells showed a 30-fold increase in proliferative capacity relative to control. this potent tumorigenicity was triggered through interactions between circ-Amotl1 and c-myc
54	A circular RNA promotes tumorigenesis by inducing c-myc nuclear translocation	Cell Death Differ.	2017 Sep	28622299	hsa_circ_0004214	circAmotl1		glioma	qRT-PCR	human	up-regulated	c-myc	Amotl1	cell line	Expression of circ-Amotl1 was analyzed in a variety of cell lines by real-time PCR. Nine cancer cell lines expressed higher levels of circ-Amotl1 relative to two non-cancer cell lines HaCaTand MCF-10A.
55	A circular RNA promotes tumorigenesis by inducing c-myc nuclear translocation	Cell Death Differ.	2017 Sep	28622299	hsa_circ_0004214	circAmotl1		cervical cancer	qRT-PCR	human	up-regulated	c-myc	Amotl1	cell line	Expression of circ-Amotl1 was analyzed in a variety of cell lines by real-time PCR. Nine cancer cell lines expressed higher levels of circ-Amotl1 relative to two non-cancer cell lines HaCaTand MCF-10A.
56	A circular RNA promotes tumorigenesis by inducing c-myc nuclear translocation	Cell Death Differ.	2017 Sep	28622299	hsa_circ_0004214	circAmotl1		lung cancer	qRT-PCR	human	up-regulated	c-myc	Amotl1	cell line	Expression of circ-Amotl1 was analyzed in a variety of cell lines by real-time PCR. Nine cancer cell lines expressed higher levels of circ-Amotl1 relative to two non-cancer cell lines HaCaTand MCF-10A.
57	CircHIPK3 sponges miR-558 to suppress heparanase expression in bladder cancer cells	EMBO Rep.	2017 Sep	28794202	hsa_circ_0000284	circHIPK3		bladder cancer	qRT-PCR, RNA-seq	human	down-regulated	miR-558	HIPK3	tissue and cell line	Over-expression of circHIPK3 effectively inhibits migration, invasion, and angiogenesis of bladder cancer cells in vitro and suppresses bladder cancer growth and metastasis in vivo.
58	Expression profile of circular RNAs in human gastric cancer tissues	Mol Med Rep.	2017 Sep	28737829	hsa_circ_0000026	-		gastric cancer	qRT-PCR, microarray	human	down-regulated	miR-23a, miR-23b, miR-581, miR-146a and miR-450a	EIF4G3	tissue	A total of 3 upregulated circRNAs and 5 downregulated circRNAs were validated that show differential expression between gastric cancer tissues and adjacent normal tissues
