circRNA	Position	Function	Gene	Gene Description	PMID
chr12:109046048-109048186	chr12:109046048-109048186	Cardiac development [differential expression (during cardiac development)]	CORO1C	coronin 1C	28676412
chr12:42604156-42604421	chr12:42604156-42604421	Gastric cancer [differential expression (gastric cancer tissues vs. normal tissues)]	-	-	27986464
chr12:46622935-46637097	chr12:46622935-46637097	Gastric cancer [differential expression (gastric cancer tissues vs. normal tissues)]	SLC38A1	solute carrier family 38 member 1	27986464
chr12:6030206-6031970	chr12:6030206-6031970	Cardiac development [differential expression (during cardiac development)]	ANO2	anoctamin 2	28676412
chr12:80187642-80215970	chr12:80187642-80215970	Hepatocellular carcinoma [differential expression (normal vs. hepatocellular carcinoma samples)]	-	-	28346469
chr13:21006240-21013893	chr13:21006240-21013893	Hepatocellular carcinoma [differential expression (normal vs. hepatocellular carcinoma samples)]	-	-	28346469
chr13:46549417-46563232	chr13:46549417-46563232	Hepatocellular carcinoma [differential expression (normal vs. hepatocellular carcinoma samples)]	-	-	28346469
chr14:107083639-107095433	chr14:107083639-107095433	Gastric cancer [differential expression (gastric cancer tissues vs. normal tissues)]	-	-	27986464
chr14:20811288-20811436	chr14:20811288-20811436	Gastric cancer [differential expression (gastric cancer tissues vs. normal tissues)]; photoaging [differential expression (Ultraviolet A irradiated vs. no irradiated human dermal fibroblasts)]	RPPH1	ribonuclease P RNA component H1	27986464;28286269
chr14:31404369-31425448	chr14:31404369-31425448	Cardiac development [differential expression (during cardiac development)]	STRN3	striatin 3	28676412
chr14:39648294-39648666	chr14:39648294-39648666	Hepatocellular carcinoma [differential expression (normal vs. hepatocellular carcinoma samples)]	-	-	28346469
chr14:50292585-50298079	chr14:50292585-50298079	Hypertrophic cardiomyopathy [differential expression (hypertrophic cardiomyopathy vs. control samples)]	-	-	27531932
chr14:74976794-74976916	chr14:74976794-74976916	Photoaging [differential expression (Ultraviolet A irradiated vs. no irradiated human dermal fibroblasts)]	LTBP2	latent transforming growth factor beta binding protein 2	28286269
chr14:97299804-97327072	chr14:97299804-97327072	Cardiac development [differential expression (during cardiac development)]	VRK1	vaccinia related kinase 1	28676412
chr15:30053342-30065560	chr15:30053342-30065560	Cardiac development [differential expression (during cardiac development)]	TJP1	tight junction protein 1	28676412
chr15:61512925-61513309	chr15:61512925-61513309	Bladder cancer [differential expression (bladder tumors vs. adjacent normal tissues)]	-	-	29558461
chr16:11940358-11941663	chr16:11940358-11941663	Cardiac development [differential expression (during cardiac development)]	RSL1D1	ribosomal L1 domain containing 1	28676412
chr16:3900298-3901010	chr16:3900298-3901010	Cardiac development [differential expression (during cardiac development)]	CREBBP	CREB binding protein	28676412
chr16:53175090-53191453	chr16:53175090-53191453	Gastric cancer [differential expression (gastric cancer tissues vs. normal tissues)]	-	-	27986464
chr16:53907698-53922863	chr16:53907698-53922863	Cardiac development [differential expression (during cardiac development)]	FTO	FTO, alpha-ketoglutarate dependent dioxygenase	28676412
chr16:56667662-56670416	chr16:56667662-56670416	Gastric cancer [differential expression (gastric cancer tissues vs. normal tissues)]	-	-	27986464
chr16:56667662-56692652	chr16:56667662-56692652	Gastric cancer [differential expression (gastric cancer tissues vs. normal tissues)]	-	-	27986464
chr16:56667662-56717142	chr16:56667662-56717142	Gastric cancer [differential expression (gastric cancer tissues vs. normal tissues)]	-	-	27986464
chr16:58594115-58594266	chr16:58594115-58594266	Gastric cancer [differential expression (gastric cancer tissues vs. normal tissues)]	CNOT1	CCR4-NOT transcription complex subunit 1	27986464
chr16:68155889-68157024	chr16:68155889-68157024	Gastric cancer [differential expression (gastric cancer tissues vs. normal tissues)]	NFATC3	nuclear factor of activated T-cells 3	27986464
chr16:68155889-68160513	chr16:68155889-68160513	Gastric cancer [differential expression (gastric cancer tissues vs. normal tissues)]	NFATC3	nuclear factor of activated T-cells 3	27986464
chr16:68155890-68157024	chr16:68155890-68157024	IMP3-associated circRNA	NFATC3	nuclear factor of activated T-cells 3	27510448
chr16:68155890-68160513	chr16:68155890-68160513	IMP3-associated circRNA	NFATC3	nuclear factor of activated T-cells 3	27510448
chr16:72090428-72091365	chr16:72090428-72091365	Hepatocellular carcinoma [differential expression (normal vs. hepatocellular carcinoma samples)]	-	-	28346469
chr17:11998892-12016677	chr17:11998892-12016677	Cardiac development [differential expression (during cardiac development)]	MAP2K4	mitogen-activated protein kinase kinase 4	28676412
chr17:12608445-12626325	chr17:12608445-12626325	Cardiac development [differential expression (during cardiac development)]	MYOCD	myocardin	28676412
chr17:42429382-42429616	chr17:42429382-42429616	Hepatocellular carcinoma [differential expression (normal vs. hepatocellular carcinoma samples)]	-	-	28346469
chr17:45695715-45696530	chr17:45695715-45696530	Gastric cancer [differential expression (gastric cancer tissues vs. normal tissues)]	NPEPPS	aminopeptidase puromycin sensitive	27986464
chr17:48266738-48267093	chr17:48266738-48267093	Photoaging [differential expression (Ultraviolet A irradiated vs. no irradiated human dermal fibroblasts)]	COL1A1	collagen type I alpha 1 chain	28286269
chr17:48272928-48273560	chr17:48272928-48273560	Photoaging [differential expression (Ultraviolet A irradiated vs. no irradiated human dermal fibroblasts)]	COL1A1	collagen type I alpha 1 chain	28286269
chr17:49118862-49133843	chr17:49118862-49133843	Cardiac development [differential expression (during cardiac development)]	SPAG9	sperm associated antigen 9	28676412
chr17:57808782-57816308	chr17:57808782-57816308	Cardiac development [differential expression (during cardiac development)]	VMP1	vacuole membrane protein 1	28676412
chr18:107887-108499	chr18:107887-108499	Tumorigenesis and development of glioblastoma multiforme [differential expression (glioblastoma multiforme patients vs. normal brain samples)]	-	-	28236760
chr18:42281139-42281797	chr18:42281139-42281797	Gastric cancer [differential expression (gastric cancer tissues vs. normal tissues)]	SETBP1	SET binding protein 1	27986464
chr18:42281140-42281797	chr18:42281140-42281797	Cardiac development [differential expression (during cardiac development)]	SETBP1	SET binding protein 1	28676412
chr19:10694282-10694746	chr19:10694282-10694746	Cardiac development [differential expression (during cardiac development)]	AP1M2	adaptor related protein complex 1 mu 2 subunit	28676412
chr19:11134193-11134307	chr19:11134193-11134307	Hepatocellular carcinoma [differential expression (normal vs. hepatocellular carcinoma samples)]	-	-	28346469
chr19:17212469-17213367	chr19:17212469-17213367	Gastric cancer [differential expression (gastric cancer tissues vs. normal tissues)]	MYO9B	myosin IXB	27986464
chr19:23541232-23545527	chr19:23541232-23545527	Cardiac development [differential expression (during cardiac development)]	ZNF91	zinc finger protein 91	28676412
chr19:34921481-34925873	chr19:34921481-34925873	Cardiac development [differential expression (during cardiac development)]	UBA2	ubiquitin like modifier activating enzyme 2	28676412
chr19:34921481-34929671	chr19:34921481-34929671	Cardiac development [differential expression (during cardiac development)]	UBA2	ubiquitin like modifier activating enzyme 2	28676412
chr19:40325307-40325453	chr19:40325307-40325453	Hepatocellular carcinoma [differential expression (normal vs. hepatocellular carcinoma samples)]	-	-	28346469
chr19:41119821-41119944	chr19:41119821-41119944	Hepatocellular carcinoma [differential expression (normal vs. hepatocellular carcinoma samples)]	-	-	28346469
chr19:430683-440932	chr19:430683-440932	Hepatocellular carcinoma [differential expression (normal vs. hepatocellular carcinoma samples)]	-	-	28346469
chr19:45321997-45322139	chr19:45321997-45322139	Hepatocellular carcinoma [differential expression (normal vs. hepatocellular carcinoma samples)]	-	-	28346469
chr19:47767860-47768203	chr19:47767860-47768203	Cardiac development [differential expression (during cardiac development)]	CCDC9	coiled-coil domain containing 9	28676412
chr19:47865732-47865950	chr19:47865732-47865950	Gastric cancer [differential expression (gastric cancer tissues vs. normal tissues)]	DHX34	DExH-box helicase 34	27986464
chr19:5761476-5761630	chr19:5761476-5761630	Tumorigenesis and development of glioblastoma multiforme [differential expression (glioblastoma multiforme patients vs. normal brain samples)]	-	-	28236760
chr19:8520289-8528570	chr19:8520289-8528570	Hypertrophic cardiomyopathy [differential expression (hypertrophic cardiomyopathy vs. control samples)]; cardiac development [differential expression (during cardiac development)]	HNRNPM	heterogeneous nuclear ribonucleoprotein M	27531932;28676412
chr1:100515465-100535241	chr1:100515465-100535241	Cardiac development [differential expression (during cardiac development)]	MFSD14A	major facilitator superfamily domain containing 14A	28676412
chr1:117944808-117948267	chr1:117944808-117948267	Hypertrophic cardiomyopathy [differential expression (hypertrophic cardiomyopathy vs. control samples)]	MAN1A2	mannosidase alpha class 1A member 2	27531932
chr1:117944808-117957453	chr1:117944808-117957453	Cardiac development [differential expression (during cardiac development)]	MAN1A2	mannosidase alpha class 1A member 2	28676412
chr1:117944808-117963271	chr1:117944808-117963271	Colorectal cancer [differential expression (DKs-12 cells)]; cardiac development [differential expression (during cardiac development)]	MAN1A2	mannosidase alpha class 1A member 2	27892494;28676412
chr1:150967052-150967175	chr1:150967052-150967175	Hepatocellular carcinoma [differential expression (normal vs. hepatocellular carcinoma samples)]	-	-	28346469
chr1:154207066-154207767	chr1:154207066-154207767	Gastric cancer [differential expression (gastric cancer tissues vs. normal tissues)]	UBAP2L	ubiquitin associated protein 2 like	27986464
chr1:155170687-155170795	chr1:155170687-155170795	Hepatocellular carcinoma [differential expression (normal vs. hepatocellular carcinoma samples)]	-	-	28346469
chr1:1586823-1650894	chr1:1586823-1650894	Photoaging [differential expression (Ultraviolet A irradiated vs. no irradiated human dermal fibroblasts)]	-	-	28286269
chr1:160182899-160183055	chr1:160182899-160183055	Hepatocellular carcinoma [differential expression (normal vs. hepatocellular carcinoma samples)]	-	-	28346469
chr1:203680005-203691817	chr1:203680005-203691817	Hypertrophic cardiomyopathy [differential expression (hypertrophic cardiomyopathy vs. control samples)]	ATP2B4	ATPase plasma membrane Ca2+ transporting 4	27531932
chr1:205585606-205593019	chr1:205585606-205593019	IMP3-associated circRNA; hypertrophic cardiomyopathy [differential expression (hypertrophic cardiomyopathy vs. control samples)]	ELK4	ELK4, ETS transcription factor	27510448;27531932
chr1:231930988-231954263	chr1:231930988-231954263	Hypertrophic cardiomyopathy [differential expression (hypertrophic cardiomyopathy vs. control samples)]	-	-	27531932
chr1:237532834-237620035	chr1:237532834-237620035	Cardiac development [differential expression (during cardiac development)]	RYR2	ryanodine receptor 2	28676412
chr1:237538017-237620035	chr1:237538017-237620035	Cardiac development [differential expression (during cardiac development)]	RYR2	ryanodine receptor 2	28676412
chr1:237550581-237586548	chr1:237550581-237586548	Cardiac development [differential expression (during cardiac development)]	RYR2	ryanodine receptor 2	28676412
chr1:247319708-247323115	chr1:247319708-247323115	Cardiac development [differential expression (during cardiac development)]	ZNF124	zinc finger protein 124	28676412
chr1:29362337-29365938	chr1:29362337-29365938	Gastric cancer [differential expression (gastric cancer tissues vs. normal tissues)]	EPB41	erythrocyte membrane protein band 4.1	27986464
chr1:35824526-35827390	chr1:35824526-35827390	Hypertrophic cardiomyopathy [differential expression (hypertrophic cardiomyopathy vs. control samples)]	ZMYM4	zinc finger MYM-type containing 4	27531932
chr1:48821342-48825442	chr1:48821342-48825442	Cardiac development [differential expression (during cardiac development)]	SPATA6	spermatogenesis associated 6	28676412
chr1:48821342-48869554	chr1:48821342-48869554	Cardiac development [differential expression (during cardiac development)]	SPATA6	spermatogenesis associated 6	28676412
chr1:48917223-48918803	chr1:48917223-48918803	Hepatocellular carcinoma [differential expression (normal vs. hepatocellular carcinoma samples)]	-	-	28346469
chr1:57406521-57422583	chr1:57406521-57422583	Hepatocellular carcinoma [differential expression (normal vs. hepatocellular carcinoma samples)]	-	-	28346469
chr1:60019795-60019899	chr1:60019795-60019899	Hepatocellular carcinoma [differential expression (normal vs. hepatocellular carcinoma samples)]	-	-	28346469
chr20:31376660-31380576	chr20:31376660-31380576	Cardiac development [differential expression (during cardiac development)]	DNMT3B	DNA methyltransferase 3 beta	28676412
chr20:31876585-31897648	chr20:31876585-31897648	Laryngeal squamous cell carcinomas [differential expresssion (laryngeal squamous cell carcinomas vs adjunctive tissue)]	BPIFB1	BPI fold containing family B member 1	29716593
chr20:32617574-32619410	chr20:32617574-32619410	Gastric cancer [differential expression (gastric cancer tissues vs. normal tissues)]	-	-	27986464
chr20:40161689-40179999	chr20:40161689-40179999	Cardiac development [differential expression (during cardiac development)]	CHD6	chromodomain helicase DNA binding protein 6	28676412
chr21:16386665-16415895	chr21:16386665-16415895	Papillary thyroid carcinoma [differential expression (papillary thyroid carcinoma tissues vs. normal thyroid tissues)]	-	-	29847813
chr21:34804483-34805178	chr21:34804483-34805178	Gastric cancer [differential expression (gastric cancer tissues vs. normal tissues)]	IFNGR2	interferon gamma receptor 2	27986464
chr21:42598192-42629253	chr21:42598192-42629253	Gastric cancer [differential expression (gastric cancer tissues vs. normal tissues)]	BACE2	beta-site APP-cleaving enzyme 2	27986464
chr22:17979663-17984048	chr22:17979663-17984048	Cardiac development [differential expression (during cardiac development)]	CECR2	CECR2, histone acetyl-lysine reader	28676412
chr22:22677018-22764194	chr22:22677018-22764194	Gastric cancer [differential expression (gastric cancer tissues vs. normal tissues)]	-	-	27986464
chr22:22712523-22735629	chr22:22712523-22735629	Gastric cancer [differential expression (gastric cancer tissues vs. normal tissues)]	-	-	27986464
chr22:22724223-22749595	chr22:22724223-22749595	Gastric cancer [differential expression (gastric cancer tissues vs. normal tissues)]	-	-	27986464
chr22:22764527-22786716	chr22:22764527-22786716	Gastric cancer [differential expression (gastric cancer tissues vs. normal tissues)]	-	-	27986464
chr22:22930851-23006988	chr22:22930851-23006988	Gastric cancer [differential expression (gastric cancer tissues vs. normal tissues)]	-	-	27986464
chr22:28943661-28946139	chr22:28943661-28946139	Bladder cancer [differential expression (bladder tumors vs. adjacent normal tissues)]	-	-	29558461
chr22:46189424-46202902	chr22:46189424-46202902	Gastric cancer [differential expression (gastric cancer tissues vs. normal tissues)]	-	-	27986464
chr2:113057425-113057606	chr2:113057425-113057606	Hepatocellular carcinoma [differential expression (normal vs. hepatocellular carcinoma samples)]	-	-	28346469
chr2:122514815-122519100	chr2:122514815-122519100	Gastric cancer [differential expression (gastric cancer tissues vs. normal tissues)]	TSN	translin	27986464
chr2:128093445-128100770	chr2:128093445-128100770	Gastric cancer [differential expression (gastric cancer tissues vs. normal tissues)]	-	-	27986464
chr2:135010666-135028121	chr2:135010666-135028121	Cardiac development [differential expression (during cardiac development)]	MGAT5	mannosyl (alpha-1,6-)-glycoprotein beta-1,6-N-acetyl-glucosaminyltransferase	28676412
chr2:168869144-168986268	chr2:168869144-168986268	Cardiac development [differential expression (during cardiac development)]	STK39	serine/threonine kinase 39	28676412
chr2:168920010-168986268	chr2:168920010-168986268	Cardiac development [differential expression (during cardiac development)]	STK39	serine/threonine kinase 39	28676412
chr2:168920010-168997268	chr2:168920010-168997268	Cardiac development [differential expression (during cardiac development)]	STK39	serine/threonine kinase 39	28676412
chr2:168986051-169023917	chr2:168986051-169023917	Cardiac development [differential expression (during cardiac development)]	STK39	serine/threonine kinase 39	28676412
chr2:169018297-169038600	chr2:169018297-169038600	Cardiac development [differential expression (during cardiac development)]	STK39	serine/threonine kinase 39	28676412
chr2:175740515-175742856	chr2:175740515-175742856	Gastric cancer [differential expression (gastric cancer tissues vs. normal tissues)]	-	-	27986464
chr2:179514891-179516047	chr2:179514891-179516047	Papillary thyroid carcinoma [differential expression (papillary thyroid carcinoma tissues vs. normal thyroid tissues)]	TTN	titin	29847813
chr2:179542852-179585929	chr2:179542852-179585929	Hypertrophic cardiomyopathy [differential expression (hypertrophic cardiomyopathy vs. control samples)]	TTN	titin	27531932
chr2:179542852-179586861	chr2:179542852-179586861	Hypertrophic cardiomyopathy [differential expression (hypertrophic cardiomyopathy vs. control samples)]	TTN	titin	27531932
chr2:179546388-179548018	chr2:179546388-179548018	Cardiac development [differential expression (during cardiac development)]	TTN	titin	28676412
chr2:179554540-179592098	chr2:179554540-179592098	Hypertrophic cardiomyopathy [differential expression (hypertrophic cardiomyopathy vs. control samples)]	TTN	titin	27531932
chr2:179583891-179592098	chr2:179583891-179592098	Cardiac development [differential expression (during cardiac development)]	TTN	titin	28676412
chr2:190656515-190682906	chr2:190656515-190682906	Hepatocellular carcinoma [differential expression (normal vs. hepatocellular carcinoma samples)]	-	-	28346469
chr2:202010101-202014558	chr2:202010101-202014558	Cardiac development [differential expression (during cardiac development)]	CFLAR	CASP8 and FADD like apoptosis regulator	28676412
chr2:238259773-238267226	chr2:238259773-238267226	Photoaging [differential expression (Ultraviolet A irradiated vs. no irradiated human dermal fibroblasts)]	COL6A3	collagen type VI alpha 3 chain	28286269
chr2:40655613-40657441	chr2:40655613-40657441	Cardiac development [differential expression (during cardiac development)]	SLC8A1	solute carrier family 8 member A1	28676412
chr2:40655613-40657444	chr2:40655613-40657444	Cardiac development [differential expression (during cardiac development)]	SLC8A1	solute carrier family 8 member A1	28676412
chr2:55209651-55214834	chr2:55209651-55214834	Colorectal cancer [differential expression (DKs-14 cells)]	RTN4	reticulon 4	27892494
chr2:68717322-68772444	chr2:68717322-68772444	Cardiac development [differential expression (during cardiac development)]	APLF	aprataxin and PNKP like factor	28676412
chr2:72692289-72707879	chr2:72692289-72707879	Cardiac development [differential expression (during cardiac development)]	EXOC6B	exocyst complex component 6B	28676412
chr2:72945232-72960247	chr2:72945232-72960247	Cardiac development [differential expression (during cardiac development)]	EXOC6B	exocyst complex component 6B	28676412
chr2:72958136-72960247	chr2:72958136-72960247	Cardiac development [differential expression (during cardiac development)]	EXOC6B	exocyst complex component 6B	28676412
chr2:90121837-90198770	chr2:90121837-90198770	Gastric cancer [differential expression (gastric cancer tissues vs. normal tissues)]	-	-	27986464
chr3:129599151-129599405	chr3:129599151-129599405	Gastric cancer [differential expression (gastric cancer tissues vs. normal tissues)]	-	-	27986464
chr3:133894453-133914026	chr3:133894453-133914026	Cardiac development [differential expression (during cardiac development)]	RYK	receptor-like tyrosine kinase	28676412
chr3:145820542-145842016	chr3:145820542-145842016	Cardiac development [differential expression (during cardiac development)]	PLOD2	procollagen-lysine,2-oxoglutarate 5-dioxygenase 2	28676412
chr3:145838899-145842016	chr3:145838899-145842016	Cardiac development [differential expression (during cardiac development)]	PLOD2	procollagen-lysine,2-oxoglutarate 5-dioxygenase 2	28676412
chr3:169854207-169867032	chr3:169854207-169867032	IMP3-associated circRNA; colorectal cancer [differential expression (colorectal cancer vs. normal colon mucosa)]	PHC3	polyhomeotic homolog 3	25624062;27510448
chr3:169863211-169867032	chr3:169863211-169867032	IMP3-associated circRNA	PHC3	polyhomeotic homolog 3	27510448
chr3:17051166-17056403	chr3:17051166-17056403	Cardiac development [differential expression (during cardiac development)]	PLCL2	phospholipase C like 2	28676412
chr3:170906491-170912424	chr3:170906491-170912424	Cardiac development [differential expression (during cardiac development)]	TNIK	TRAF2 and NCK interacting kinase	28676412
chr3:17549965-17560487	chr3:17549965-17560487	Gastric cancer [differential expression (gastric cancer tissues vs. normal tissues)]	-	-	27986464
chr3:197541778-197547301	chr3:197541778-197547301	Gastric cancer [differential expression (gastric cancer tissues vs. normal tissues)]	LRCH3	leucine rich repeats and calponin homology domain containing 3	27986464
chr3:47466975-47470160	chr3:47466975-47470160	Cardiac development [differential expression (during cardiac development)]	SCAP	SREBF chaperone	28676412
chr3:49372452-49373029	chr3:49372452-49373029	Gastric cancer [differential expression (gastric cancer tissues vs. normal tissues)]	-	-	27986464
chr3:52446827-52448603	chr3:52446827-52448603	Cardiac development [differential expression (during cardiac development)]	PHF7	PHD finger protein 7	28676412
chr3:56600621-56601081	chr3:56600621-56601081	Gastric cancer [differential expression (gastric cancer tissues vs. normal tissues)]	CCDC66	coiled-coil domain containing 66	27986464
chr3:56626998-56628056	chr3:56626998-56628056	Cardiac development [differential expression (during cardiac development)]	CCDC66	coiled-coil domain containing 66	28676412
chr3:71037145-71102924	chr3:71037145-71102924	Cardiac development [differential expression (during cardiac development)]	FOXP1	forkhead box P1	28676412
chr3:71064699-71102924	chr3:71064699-71102924	Gastric cancer [differential expression (gastric cancer tissues vs. normal tissues)]	FOXP1	forkhead box P1	27986464
chr3:71090479-71102924	chr3:71090479-71102924	Cardiac development [differential expression (during cardiac development)]	FOXP1	forkhead box P1	28676412
chr4:103501692-103504114	chr4:103501692-103504114	Tumorigenesis and development of glioblastoma multiforme [differential expression (glioblastoma multiforme patients vs. normal brain samples)]	-	-	28236760
chr4:1219147-1235307	chr4:1219147-1235307	Gastric cancer [differential expression (gastric cancer tissues vs. normal tissues)]	CTBP1	C-terminal binding protein 1	27986464
chr4:129857810-129925031	chr4:129857810-129925031	Cardiac development [differential expression (during cardiac development)]	SCLT1	sodium channel and clathrin linker 1	28676412
chr4:148778703-148803083	chr4:148778703-148803083	Gastric cancer [differential expression (gastric cancer tissues vs. normal tissues)]	ARHGAP10	Rho GTPase activating protein 10	27986464
chr4:148778704-148803083	chr4:148778704-148803083	Cardiac development [differential expression (during cardiac development)]	ARHGAP10	Rho GTPase activating protein 10	28676412
chr4:148867768-148887990	chr4:148867768-148887990	Hypertrophic cardiomyopathy [differential expression (hypertrophic cardiomyopathy vs. control samples)]	ARHGAP10	Rho GTPase activating protein 10	27531932
chr4:178274462-178274882	chr4:178274462-178274882	IMP3-associated circRNA	NEIL3	nei like DNA glycosylase 3	27510448
chr4:54280782-54294350	chr4:54280782-54294350	IMP3-associated circRNA; cardiac development [differential expression (during cardiac development)]	FIP1L1	factor interacting with PAPOLA and CPSF1	27510448;28676412
chr4:54292039-54310270	chr4:54292039-54310270	IMP3-associated circRNA	FIP1L1	factor interacting with PAPOLA and CPSF1	27510448
chr4:73950966-73958017	chr4:73950966-73958017	IMP3-associated circRNA	ANKRD17	ankyrin repeat domain 17	27510448
chr4:73956384-73958017	chr4:73956384-73958017	IMP3-associated circRNA	ANKRD17	ankyrin repeat domain 17	27510448
chr4:74274310-74275204	chr4:74274310-74275204	Hepatocellular carcinoma [differential expression (normal vs. hepatocellular carcinoma samples)]	-	-	28346469
chr4:74276028-74277842	chr4:74276028-74277842	Hepatocellular carcinoma [differential expression (normal vs. hepatocellular carcinoma samples)]	-	-	28346469
chr4:74277712-74277842	chr4:74277712-74277842	Hepatocellular carcinoma [differential expression (normal vs. hepatocellular carcinoma samples)]	-	-	28346469
chr4:74279136-74280884	chr4:74279136-74280884	Hepatocellular carcinoma [differential expression (normal vs. hepatocellular carcinoma samples)]	-	-	28346469
chr4:74285223-74285356	chr4:74285223-74285356	Hepatocellular carcinoma [differential expression (normal vs. hepatocellular carcinoma samples)]	-	-	28346469
chr4:87967318-87968746	chr4:87967318-87968746	Cardiac development [differential expression (during cardiac development)]	AFF1	AF4/FMR2 family member 1	28676412
chr4:95494502-95507595	chr4:95494502-95507595	Cardiac development [differential expression (during cardiac development)]	PDLIM5	PDZ and LIM domain 5	28676412
chr4:95539155-95561601	chr4:95539155-95561601	Cardiac development [differential expression (during cardiac development)]	PDLIM5	PDZ and LIM domain 5	28676412
chr5:124036707-124036962	chr5:124036707-124036962	Cardiac development [differential expression (during cardiac development)]	ZNF608	zinc finger protein 608	28676412
chr5:137320945-137324004	chr5:137320945-137324004	Gastric cancer [differential expression (gastric cancer tissues vs. normal tissues)]	FAM13B	family with sequence similarity 13 member B	27986464
chr5:138699448-138700432	chr5:138699448-138700432	Hypertrophic cardiomyopathy [differential expression (hypertrophic cardiomyopathy vs. control samples)]	PAIP2	poly(A) binding protein interacting protein 2	27531932
chr5:138994282-139003046	chr5:138994282-139003046	Cardiac development [differential expression (during cardiac development)]	UBE2D2	ubiquitin conjugating enzyme E2 D2	28676412
chr5:142434003-142437312	chr5:142434003-142437312	Gastric cancer [differential expression (gastric cancer tissues vs. normal tissues)]	ARHGAP26	Rho GTPase activating protein 26	27986464
chr5:158368701-158368987	chr5:158368701-158368987	Bladder cancer [differential expression (bladder tumors vs. adjacent normal tissues)]	-	-	29558461
chr5:160757890-160763776	chr5:160757890-160763776	Papillary thyroid carcinoma [differential expression (papillary thyroid carcinoma tissues vs. normal thyroid tissues)]	GABRB2	gamma-aminobutyric acid type A receptor beta2 subunit	29847813
