circRNA Name	Region	Strand	Gene Symbol	CircBase Link	Disease Name	Expression Pattern	Experimental Techniques	Species	Brief description	Year	PMID	
hsa_circ_0005267	chr14:76633005-76647192	+	C14orf118	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0005267	Primary great saphenous vein varicosities	Downregulated	qRT-PCR etc.	Human	"To validate the predicted circRNAs, 6 downregulated circRNAs were selected for subsequent qRT-PCR validation in all vein samples: hsa_circ_0089810 (CD99), hsa_circ_0000378 (LRP6), hsa_circ_0006427 (BCAR3), hsa_circ_0003171 (PTK2), circ_SDHA and hsa_circ_0005267 (GPATCH2L). The relative expression levels of the circRNAs were downregulated by 2.5-fold, 2.1-fold, 9.8-fold, 1.6-fold, 2.5-fold and 3.3-fold in the PGSVV group as compared to control group, respectively"	2018/5/1	29577902	
hsa_circRNA_100571	N/A	N/A	N/A	N/A	Primary hepatic carcinoma	Downregulated	qRT-PCR etc.	Human	The results showed that the expression levels of hsa_circ_100571 and hsa_circ_400031 pre-transplantation were lower than those of NCs	2018/4/1	29609527	
hsa_circRNA_400031	N/A	N/A	N/A	N/A	Primary hepatic carcinoma	Downregulated	qRT-PCR etc.	Human	The results showed that the expression levels of hsa_circ_100571 and hsa_circ_400031 pre-transplantation were lower than those of NCs	2018/4/1	29609527	
hsa_circRNA_102032	N/A	N/A	N/A	N/A	Primary hepatic carcinoma	Upregulated	qRT-PCR etc.	Human	"The expression levels of hsa_circ_102032, hsa_circ_103096, and hsa_circ_102347 pre-transplantation were significantly higher than those of NCs"	2018/4/1	29609527	
hsa_circRNA_103096	N/A	N/A	N/A	N/A	Primary hepatic carcinoma	Upregulated	qRT-PCR etc.	Human	"The expression levels of hsa_circ_102032, hsa_circ_103096, and hsa_circ_102347 pre-transplantation were significantly higher than those of NCs"	2018/4/1	29609527	
hsa_circRNA_102347	N/A	N/A	N/A	N/A	Primary hepatic carcinoma	Upregulated	qRT-PCR etc.	Human	"The expression levels of hsa_circ_102032, hsa_circ_103096, and hsa_circ_102347 pre-transplantation were significantly higher than those of NCs"	2018/4/1	29609527	
circMAN2B2/hsa_circRNA_103595	N/A	N/A	MAN2B2	N/A	Lung cancer	Upregulated	"qRT-PCR, Luciferase reporter assay etc."	Human	circMAN2B2 acts as an oncogenic role in lung cancer through promoting FOXK1 expression by sponging miR-1275.	2018/4/1	29550475	
hsa_circ_0037911	chr16:11988810-11991892	-	GSPT1	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0037911	Essential hypertension	Upregulated	qRT-PCR etc.	Human	"The levels of hsa_circ_0037911 were significantly differences in gender, BMI, smoking and drinking among EH cases."	2018/4/1	29526758	
hsa_circ_0002161	chr16:11988810-11990642	-	GSPT1	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0002161	Essential hypertension	Upregulated	qRT-PCR etc.	Human	"hsa_circ_0037911 relative fold showed significant differences between gender (p?<?0.0001), smoking (p?=?0.001) and drinking (p?=?0.049). However hsa_circ_0002161 have no significant difference in different state."	2018/4/1	29526758	
circRNA.1030	N/A	N/A	N/A	N/A	Gestational diabetes mellitus	Upregulated	qRT-PCR etc.	Human	"Six differential circRNAs, three up-regulated circRNAs (circRNA.1030, circRNA.5333, and circRNA.33299) and three down-regulated circRNAs (circRNA.20159, circRNA.37134, and circRNA.22054), were selected to verify the sequencing results."	2018/4/1	29526755	
circRNA.5333	N/A	N/A	N/A	N/A	Gestational diabetes mellitus	Upregulated	qRT-PCR etc.	Human	"Six differential circRNAs, three up-regulated circRNAs (circRNA.1030, circRNA.5333, and circRNA.33299) and three down-regulated circRNAs (circRNA.20159, circRNA.37134, and circRNA.22054), were selected to verify the sequencing results."	2018/4/1	29526755	
circRNA.33299	N/A	N/A	N/A	N/A	Gestational diabetes mellitus	Upregulated	qRT-PCR etc.	Human	"Six differential circRNAs, three up-regulated circRNAs (circRNA.1030, circRNA.5333, and circRNA.33299) and three down-regulated circRNAs (circRNA.20159, circRNA.37134, and circRNA.22054), were selected to verify the sequencing results."	2018/4/1	29526755	
circRNA.20159	N/A	N/A	N/A	N/A	Gestational diabetes mellitus	Downregulated	qRT-PCR etc.	Human	"Six differential circRNAs, three up-regulated circRNAs (circRNA.1030, circRNA.5333, and circRNA.33299) and three down-regulated circRNAs (circRNA.20159, circRNA.37134, and circRNA.22054), were selected to verify the sequencing results."	2018/4/1	29526755	
circRNA.37134	N/A	N/A	N/A	N/A	Gestational diabetes mellitus	Downregulated	qRT-PCR etc.	Human	"Six differential circRNAs, three up-regulated circRNAs (circRNA.1030, circRNA.5333, and circRNA.33299) and three down-regulated circRNAs (circRNA.20159, circRNA.37134, and circRNA.22054), were selected to verify the sequencing results."	2018/4/1	29526755	
circRNA.22054	N/A	N/A	N/A	N/A	Gestational diabetes mellitus	Downregulated	qRT-PCR etc.	Human	"Six differential circRNAs, three up-regulated circRNAs (circRNA.1030, circRNA.5333, and circRNA.33299) and three down-regulated circRNAs (circRNA.20159, circRNA.37134, and circRNA.22054), were selected to verify the sequencing results."	2018/4/1	29526755	
hsa_circ_0007385	chr2:32142994-32157204	-	MEMO1	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0007385	Non-small cell lung cancer	Upregulated	"qPCR, CCK-8 assay, Colony formation assay, Dual-luciferase assay, Xenograft assay etc."	Human	"In vitro experiments with hsa_circ_0007385 knockdown resulted in significant suppression of the proliferation, migration and invasion of NSCLC cells. In vivo xenograft assay using hsa_circ_0007385 knockdown, significantly reduced tumor growth. Bioinformatics analysis and luciferase reporter assay verified the potential target miR-181, suggesting a possible regulatory pathway for hsa_circ_0007385."	2018/4/1	29372377	
hsa_circ_400011/hsa_circ_0092374	chr1:68151221-68151421	+	GADD45A	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0092374	Systemic lupus erythematosus	Upregulated	qRT-PCR etc.	Human	"We found that the expression levels of hsa:circ_102584, hsa:circ_400011 and hsa:circ_101471 were significantly higher in SLE patients than in corresponding normal subjects (Fig. 2C, *p?<?0.05, **p?<?0.01). "	2018/3/1	29360436	
hsa_circRNA_000167	chr14	-	RPPH1	N/A	Pancreatic cancer	Downregulated	qRT-PCR etc.	Human	The RT?qPCR results are consistent with microarray data.	2018/3/1	29620241	
hsa_circRNA_100433	N/A	N/A	N/A	N/A	Pancreatic cancer	Upregulated	qRT-PCR etc.	Human	The RT?qPCR results are consistent with microarray data.	2018/3/1	29620241	
hsa_circRNA_101717	chr16	+	 ABCC1	N/A	Pancreatic cancer	Upregulated	qRT-PCR etc.	Human	The RT?qPCR results are consistent with microarray data.	2018/3/1	29620241	
hsa_circRNA_102049	chr17	+	 TADA2A	N/A	Pancreatic cancer	Upregulated	qRT-PCR etc.	Human	The RT?qPCR results are consistent with microarray data.	2018/3/1	29620241	
hsa_circRNA_102051	chr17	+	 TADA2A	N/A	Pancreatic cancer	Upregulated	qRT-PCR etc.	Human	The RT?qPCR results are consistent with microarray data.	2018/3/1	29620241	
hsa_circRNA_102619	chr2	-	NOL10 	N/A	Pancreatic cancer	Upregulated	qRT-PCR etc.	Human	The RT?qPCR results are consistent with microarray data.	2018/3/1	29620241	
hsa_circRNA_103076	chr20	-	CSE1L	N/A	Pancreatic cancer	Upregulated	qRT-PCR etc.	Human	The RT?qPCR results are consistent with microarray data.	2018/3/1	29620241	
hsa_circRNA_103390	N/A	N/A	N/A	N/A	Pancreatic cancer	Upregulated	qRT-PCR etc.	Human	The RT?qPCR results are consistent with microarray data.	2018/3/1	29620241	
hsa_circRNA_104084	chr6	+	LINC00340	N/A	Pancreatic cancer	Upregulated	qRT-PCR etc.	Human	The RT?qPCR results are consistent with microarray data.	2018/3/1	29620241	
hsa_circRNA_104270	chr6	+	FAM120B 	N/A	Pancreatic cancer	Upregulated	qRT-PCR etc.	Human	The RT?qPCR results are consistent with microarray data.	2018/3/1	29620241	
circ-Foxo3	N/A	N/A	FOXO3	N/A	Non-small cell lung cancer	Downregulated	"qRT-PCR, Western blot etc."	Human	"The functional relevance was further examined by biological assays. circRNA?FOXO3 significantly promoted the ability of cell proliferation, migration and invasion of NSCLC cells. The linear isomer of circRNA?FOXO3, FOXO3 gene, was identified as a downstream target. RNA immunoprecipitation indicated that circRNA?FOXO3 sequestering miR?155, which further promoted linear FOXO3 expression. In addition, gain and loss functional assays indicated that circRNA?FOXO3 served an anti?oncogenic role through sequestering miR?155 and enhancing FOXO3 expression. "	2018/3/1	29620202	
hsa_circ_102584/hsa_circ_0003146	chr19:48229068-48229481	+	EHD2	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0003146	Systemic lupus erythematosus	Upregulated	qRT-PCR etc.	Human	"We found that the expression levels of hsa:circ_102584, hsa:circ_400011 and hsa:circ_101471 were significantly higher in SLE patients than in corresponding normal subjects (Fig. 2C, *p?<?0.05, **p?<?0.01). "	2018/3/1	29360436	
hsa_circ_101471/hsa_circ_0034398	chr15:36936478-36950106	+	C15orf41	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0034398	Systemic lupus erythematosus	Upregulated	qRT-PCR etc.	Human	"We found that the expression levels of hsa:circ_102584, hsa:circ_400011 and hsa:circ_101471 were significantly higher in SLE patients than in corresponding normal subjects (Fig. 2C, *p?<?0.05, **p?<?0.01). "	2018/3/1	29360436	
hsa_circ_104807/hsa_circ_0001866	chr9:86293355-86297981	-	UBQLN1	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0001866	Systemic lupus erythematosus	Downregulated	qRT-PCR etc.	Human	Unclear	2018/3/1	29360436	
hsa_circ_102571/hsa_circ_0008615	chr19:45901262-45901597	-	PPP1R13L	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0008615	Systemic lupus erythematosus	Upregulated	qRT-PCR etc.	Human	Unclear	2018/3/1	29360436	
hsa_circ_100226/hsa_circ_0046599	chr17:80962990-80972395	-	B3GNTL1	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0046599	Systemic lupus erythematosus	Downregulated	qRT-PCR etc.	Human	"We found that the expression levels of hsa:circ_102584, hsa:circ_400011 and hsa:circ_101471 were significantly higher in SLE patients than in corresponding normal subjects (Fig. 2C, *p?<?0.05, **p?<?0.01). "	2018/3/1	29360436	
hsa_circ_100775/hsa_circ_0021549	chr11:30516842-30557722	-	MPPED2	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0021549	Systemic lupus erythematosus	Downregulated	qRT-PCR etc.	Human	Unclear	2018/3/1	29360436	
hsa_circ_101889/hsa_circ_0040705	chr16:84792321-84801964	+	USP10	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0040705	Systemic lupus erythematosus	Downregulated	qRT-PCR etc.	Human	Unclear	2018/3/1	29360436	
hsa_circ_0001649	chr6:146209155-146216113	-	SHPRH	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0001649	Glioma	Downregulated	qRT-PCR etc.	Human	Both circ-SHPRH and SHPRH-146aa are abundantly expressed in normal human brains and are down-regulated in glioblastoma. The overexpression of SHPRH-146aa in U251 and U373 glioblastoma cells reduces their malignant behavior and tumorigenicity in vitro and in vivo.	2018/3/1	29343848	
hsa_circ_0007534	chr17:61869771-61877977	+	DDX42	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0007534	Glioma	Upregulated	qRT-PCR etc.	Human	hsa_circ_0007534 serves as an oncogene in glioma via promoting ZIC5 expression by repressing miR-761 availability.	2018/3/1	29605301	
circRNA_102231	N/A	N/A	N/A	N/A	Lung cancer	Upregulated	qRT-PCR etc.	Human	"QRT-PCR showed that circRNA_102231 expression was significantly upregulated in LAC tissues and associated with the advanced TNM stage, lymph node metastasis, and poor overall survival of lung cancer patients."	2018/3/1	29602132	
circRNA_0084927/hsa_circ_0084927	chr8:95676924-95677424	+	ESRP1	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0084927	Acne	Downregulated	qRT-PCR etc.	Human	"5 candidate circRNAs (circRNA_0084927, circRNA_0001073, circRNA_0005941, circRNA_0086376, and circRNA_0018168) were validated to have significant decreased in severe acne by PCR, Sanger sequencing, and qRT-PCR"	2018/3/1	29573483	
circRNA_0001073/hsa_circ_0001073	chr2:148653869-148657467	+	ACVR2A	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0001073	Acne	Downregulated	qRT-PCR etc.	Human	"5 candidate circRNAs (circRNA_0084927, circRNA_0001073, circRNA_0005941, circRNA_0086376, and circRNA_0018168) were validated to have significant decreased in severe acne by PCR, Sanger sequencing, and qRT-PCR"	2018/3/1	29573483	
circRNA_0005941/hsa_circ_0005941	chr16:53907697-53922863	+	FTO	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0005941	Acne	Downregulated	qRT-PCR etc.	Human	"5 candidate circRNAs (circRNA_0084927, circRNA_0001073, circRNA_0005941, circRNA_0086376, and circRNA_0018168) were validated to have significant decreased in severe acne by PCR, Sanger sequencing, and qRT-PCR"	2018/3/1	29573483	
circRNA_0086376/hsa_circ_0086376	chr9:14146687-14179779	-	NFIB	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0086376	Acne	Downregulated	qRT-PCR etc.	Human	"5 candidate circRNAs (circRNA_0084927, circRNA_0001073, circRNA_0005941, circRNA_0086376, and circRNA_0018168) were validated to have significant decreased in severe acne by PCR, Sanger sequencing, and qRT-PCR"	2018/3/1	29573483	
circRNA_0018168/hsa_circ_0018168	chr10:34558584-34573173	-	PARD3	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0018168	Acne	Downregulated	qRT-PCR etc.	Human	"5 candidate circRNAs (circRNA_0084927, circRNA_0001073, circRNA_0005941, circRNA_0086376, and circRNA_0018168) were validated to have significant decreased in severe acne by PCR, Sanger sequencing, and qRT-PCR"	2018/3/1	29573483	
hsa_circ_0000172	chr1:201475259-201475620	-	CSRP1	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0000172	Bladder cancer	Upregulated	qRT-PCR etc.	Human	"Hsa_circ_0000172, Hsa_circ_0002495, Chr22: 28943661, and Chr5: 158368701 were up-regulated in tumor, while Chr9: 74522734 was down-regulated"	2018/3/1	29558461	
hsa_circ_0002495	chr15:61386554-61404318	-	RORA	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0002495	Bladder cancer	Upregulated	qRT-PCR etc.	Human	"Hsa_circ_0000172, Hsa_circ_0002495, Chr22: 28943661, and Chr5: 158368701 were up-regulated in tumor, while Chr9: 74522734 was down-regulated"	2018/3/1	29558461	
Chr22: 28943661	chr22: 28943661-28946139	N/A	N/A	N/A	Bladder cancer	Upregulated	qRT-PCR etc.	Human	"Hsa_circ_0000172, Hsa_circ_0002495, Chr22: 28943661, and Chr5: 158368701 were up-regulated in tumor, while Chr9: 74522734 was down-regulated"	2018/3/1	29558461	
Chr5: 158368701	chr5: 158368701-158368987	N/A	N/A	N/A	Bladder cancer	Upregulated	qRT-PCR etc.	Human	"Hsa_circ_0000172, Hsa_circ_0002495, Chr22: 28943661, and Chr5: 158368701 were up-regulated in tumor, while Chr9: 74522734 was down-regulated"	2018/3/1	29558461	
Chr9: 74522734	chr9:74522734-74523039	N/A	N/A	N/A	Bladder cancer	Downregulated	qRT-PCR etc.	Human	"Hsa_circ_0000172, Hsa_circ_0002495, Chr22: 28943661, and Chr5: 158368701 were up-regulated in tumor, while Chr9: 74522734 was down-regulated"	2018/3/1	29558461	
hsa_circ_0011946	chr1:41578954-41618413	-	SCMH1	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0011946	Breast cancer	Upregulated	qRT-PCR etc.	Human	hsa_circ_0011946 loss-of-function significantly suppressed the migration and invasion of Michigan Cancer Foundation-7 cells.	2018/3/1	29593432	
hsa_circ_0007534	chr17:61869771-61877977	+	DDX42	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0007534	Breast cancer	Upregulated	qRT-PCR etc.	Human	"hsa_circ_0093859, hsa_circ_0007534, and hsa_circ_0011946 had an obviously higher expression in the MCF-7 cell line than in other cell lines."	2018/3/1	29593432	
hsa_circ_0093859	chr10:64966354-64968995	-	JMJD1C	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0093859	Breast cancer	Upregulated	qRT-PCR etc.	Human	"hsa_circ_0093859, hsa_circ_0007534, and hsa_circ_0011946 had an obviously higher expression in the MCF-7 cell line than in other cell lines."	2018/3/1	29593432	
hsa_circ_0000284/circHIPK3	chr11:33307958-33309057	+	HIPK3	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0000284	Colorectal cancer	Upregulated	qRT-PCR etc.	Human	"circHIPK3 may have considerable potential as a prognostic biomarker in CRC, and support the notion that therapeutic targeting of the c-Myb/circHIPK3/miR-7 axis may be a promising treatment approach for CRC patients."	2018/3/1	29549306	
circHECTD1	N/A	N/A	HECTD1	N/A	Silicosis	Upregulated	"qRT-PCR, Western blotting, Immunocytochemistry, FISH, RNA interference etc."	Human	"Our study has elucidated a link between the SiO2-induced EndMT and the circHECTD1/HECTD1 pathway, thereby providing insights into the potential use of HECTD1 for developing novel therapeutic strategies for silicosis"	2018/3/1	29540674	
circ_0004712/hsa_circ_0004712	chr6:136468488-136476896	+	PDE7B	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0004712	Ovarian endometriosis	Upregulated	qRT-PCR etc.	Human	circRNAs are candidate factors in the activation of endometriosis. circ_0002198 and circ_0004712 may be potential novel biomarkers for the diagnosis of ovarian endometriosis.	2018/3/1	29483390	
circ_0002198/hsa_circ_0002198	chr6:136472297-136476896	+	PDE7B	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0002198	Ovarian endometriosis	Upregulated	qRT-PCR etc.	Human	circRNAs are candidate factors in the activation of endometriosis. circ_0002198 and circ_0004712 may be potential novel biomarkers for the diagnosis of ovarian endometriosis.	2018/3/1	29483390	
hsa_circ_0067934	chr3:170013698-170015181	+	PRKCI	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0067934	Hepatocellular carcinoma	Upregulated	"qRT-PCR, Luciferase reporter assay, In vivo tumor growth and metastasis assays etc."	Human	circ_0067934/miR-1324/FZD5/汕-catenin signaling axis might serve as a promising therapeutic target for HCC intervention.	2018/3/1	29458020	
circHLA-C	chr6:31239010-31324103	-	HLA-C 	N/A	Lupus nephritis	Upregulated	"qRT-PCR, Luciferase reporter assay, In vivo tumor growth and metastasis assays etc."	Human	"Bio-informatic analysis predicted miR-150 was regulated by circHLA-C and displayed one perfect match seed between circHLA-C and miR-150. The renal miR-150 showed a tendency of negative correlation with circHLA-C in LN patients. In conclusion, circHLA-C may play an important role in the pathogenesis of lupus nephritis by sponging miR-150."	2018/3/1	29499937	
circZNF609/hsa_circ_0000615	chr15:64791491-64792365	+	ZNF609	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0000615	Lupus nephritis	Upregulated	"qRT-PCR, Luciferase reporter assay, In vivo tumor growth and metastasis assays etc."	Human	"These seven validated circRNAs includes circHLA-C, circZNF609, circEKL4, circFAM188A,circUBR5, circPDE4B, and circSP100 were significantly upregulated in LN renal biopsies compared with NC kidneys."	2018/3/1	29499937	
circEKL4/hsa_circ_0000175	chr1:205585605-205593019	-	ELK4	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0000175	Lupus nephritis	Upregulated	"qRT-PCR, Luciferase reporter assay, In vivo tumor growth and metastasis assays etc."	Human	"These seven validated circRNAs includes circHLA-C, circZNF609, circEKL4, circFAM188A,circUBR5, circPDE4B, and circSP100 were significantly upregulated in LN renal biopsies compared with NC kidneys."	2018/3/1	29499937	
circFAM188A/hsa_circ_0000219	chr10:15858833-15889942	-	FAM188A	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0000219	Lupus nephritis	Upregulated	"qRT-PCR, Luciferase reporter assay, In vivo tumor growth and metastasis assays etc."	Human	"These seven validated circRNAs includes circHLA-C, circZNF609, circEKL4, circFAM188A,circUBR5, circPDE4B, and circSP100 were significantly upregulated in LN renal biopsies compared with NC kidneys."	2018/3/1	29499937	
circUBR5/hsa_circ_0001819	chr8:103372298-103373854	-	UBR5	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0001819	Lupus nephritis	Upregulated	"qRT-PCR, Luciferase reporter assay, In vivo tumor growth and metastasis assays etc."	Human	"These seven validated circRNAs includes circHLA-C, circZNF609, circEKL4, circFAM188A,circUBR5, circPDE4B, and circSP100 were significantly upregulated in LN renal biopsies compared with NC kidneys."	2018/3/1	29499937	
circPDE4B/hsa_circ_0008433	chr1:66378927-66384518	+	PDE4B	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0008433	Lupus nephritis	Upregulated	"qRT-PCR, Luciferase reporter assay, In vivo tumor growth and metastasis assays etc."	Human	"These seven validated circRNAs includes circHLA-C, circZNF609, circEKL4, circFAM188A,circUBR5, circPDE4B, and circSP100 were significantly upregulated in LN renal biopsies compared with NC kidneys."	2018/3/1	29499937	
circSP100/hsa_circ_0003922	chr2:231307651-231314970	+	SP100	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0003922	Lupus nephritis	Upregulated	"qRT-PCR, Luciferase reporter assay, In vivo tumor growth and metastasis assays etc."	Human	"These seven validated circRNAs includes circHLA-C, circZNF609, circEKL4, circFAM188A,circUBR5, circPDE4B, and circSP100 were significantly upregulated in LN renal biopsies compared with NC kidneys."	2018/3/1	29499937	
chr5:90817794|90827570	chr5:90817794|90827570	N/A	N/A	N/A	Cardiovascular disease	Upregulated	"Immunofluorescence staining, qRT-PCR etc."	Rat	"chr5:90817794|90827570, chr8:71336875|71337745, and chr6:22033342|22038870 were significantly up-regulated in TGF-汕1-treated rat CAEC. "	2018/3/1	29521313	
